"Year","Wins","PS/G","PA/G"
2014-12-31,48,93.7,91.8
2013-12-31,45,93.2,92.9
2012-12-31,50,96.3,88.2
2011-12-31,62,98.6,91.3
2010-12-31,41,97.5,99.1
2009-12-31,41,102.2,102.5
2008-12-31,33,97.3,100.4
2007-12-31,49,98.8,93.8
2006-12-31,41,97.8,97.2
2005-12-31,47,94.5,93.4
2004-12-31,23,89.7,96
2003-12-31,30,95,100.1
2002-12-31,21,89.5,98
2001-12-31,15,87.6,96.7
2000-12-31,17,84.8,94.2
1999-12-31,13,81.9,91.4
1998-12-31,62,96.7,89.6
1997-12-31,69,103.1,92.3
1996-12-31,72,105.2,92.9
1995-12-31,47,101.5,96.7
1994-12-31,55,98,94.9
1993-12-31,57,105.2,98.9
1992-12-31,67,109.9,99.5
1991-12-31,61,110,101
1990-12-31,55,109.5,106.2
1989-12-31,47,106.4,105
1988-12-31,50,105,101.6
1987-12-31,40,104.8,103.9
1986-12-31,30,109.3,113.1
1985-12-31,38,108.7,109.6
1984-12-31,27,103.7,108.9
1983-12-31,28,111,115.9
1982-12-31,34,106.6,108.6
1981-12-31,45,109,107
1980-12-31,30,107.5,110.2
1979-12-31,31,104.7,108.7
1978-12-31,40,103.9,104.8
1977-12-31,44,98.9,98
1976-12-31,24,95.9,98.8
1975-12-31,47,98.1,95
1974-12-31,54,102,98.7
1973-12-31,51,104.1,100.6
1972-12-31,57,111.2,102.9
1971-12-31,51,110.6,105.4
1970-12-31,39,114.9,116.7
